时间戳,日期时间,锻炼项目,个数,组数,持续时间
1581860087.043075,2020-02-16 21:34:47,深蹲,10,2,2
1581862374.787617,2020-02-16 22:12:54,斜上俯卧撑,20,3,8.1
1581863245.217851,2020-02-16 22:27:25,坐姿屈膝,30,3,11.6
1581864024.054805,2020-02-16 22:40:24,平卧抬膝,20,2,3
1581864339.6514492,2020-02-16 22:45:39,标准深蹲,10,2,3.1
1581944986.063314,2020-02-17 21:09:46,标准深蹲,20,3,7.9
1581949589.6545768,2020-02-17 22:26:29,斜上俯卧撑,20,3,7.9
1581950154.881213,2020-02-17 22:35:54,平卧抬膝,20,2,5.3
1581951188.5821388,2020-02-17 22:53:08,短桥,30,4,15.1
1581951785.452329,2020-02-17 23:03:05,标准深蹲,20,2,5.3
1581991174.5957189,2020-02-18 09:59:34,标准俯卧撑,12,2,3.5
1582033026.521358,2020-02-18 21:37:06,标准深蹲,20,4,10.6
1582036474.040479,2020-02-18 22:34:34,直桥,10,2,3.1
1582036994.3940248,2020-02-18 22:43:14,平卧抬膝,20,2,5.4
1582037536.5812328,2020-02-18 22:52:16,膝盖俯卧撑,12,2,3.5
1582078032.143179,2020-02-19 10:07:12,标准俯卧撑,10,2,3.0
1582078745.380716,2020-02-19 10:19:05,标准深蹲,25,2,6.2
1582079856.815027,2020-02-19 10:37:36,平卧抬膝,20,2,5.2
1582119435.837198,2020-02-19 21:37:15,直桥,10,2,3.0
1582119959.35393,2020-02-19 21:45:59,短桥,20,3,7.9
1582120478.318971,2020-02-19 21:54:38,标准深蹲,25,2,6.3
1582166559.767637,2020-02-20 10:42:39,标准俯卧撑,10,2,3.0
1582223910.2508302,2020-02-21 02:38:30,直桥,10,2,3.0
1582225103.389753,2020-02-21 02:58:23,平卧抬膝,20,2,5.3
1582225587.202016,2020-02-21 03:06:27,短桥,20,3,8.0
1582226038.267267,2020-02-21 03:13:58,标准深蹲,25,2,6.4
1582226159.476894,2020-02-21 03:15:59,标准俯卧撑,12,1,1.8
1582249167.615062,2020-02-21 09:39:27,标准深蹲,25,2,6.2
1582273226.605559,2020-02-21 16:20:26,平卧蛙举腿,8,1,1.8
1582273718.854144,2020-02-21 16:28:38,平卧屈举腿,12,2,4.2
1582289327.812225,2020-02-21 20:48:47,标准深蹲,25,2,6.5
1582300800.000000,2020-02-22 00:00:00,自由锻炼,0,0,20
1582446990.474249,2020-02-23 16:36:30,标准深蹲,30,2,7.7
1582447413.5413198,2020-02-23 16:43:33,标准俯卧撑,12,1,1.9
1582447909.765876,2020-02-23 16:51:49,平卧屈举腿,12,2,4.5
1582448239.876076,2020-02-23 16:57:19,直桥,10,2,3.2
1582449023.842262,2020-02-23 17:10:23,短桥,40,2,10.1
1582449986.308838,2020-02-23 17:26:26,标准引体向上,6,1,1
1582510215.473529,2020-02-24 10:10:15,标准深蹲,30,3,11.2
1582555713.131994,2020-02-24 22:48:33,标准俯卧撑,8,2,2.8
1582556006.802985,2020-02-24 22:53:26,平卧屈举腿,12,2,7.6
1582556381.2290921,2020-02-24 22:59:41,直桥,12,2,3.7
1582557500.194052,2020-02-24 23:18:20,短桥,50,3,18.6
1582557611.531038,2020-02-24 23:20:11,标准俯卧撑,12,1,1.9
1582596324.498562,2020-02-25 10:05:24,标准深蹲,30,3,11.3
1582596788.374181,2020-02-25 10:13:08,标准俯卧撑,8,2,2.7
1582643413.031389,2020-02-25 23:10:13,标准俯卧撑,8,2,2.8
1582643662.6306822,2020-02-25 23:14:22,直桥,12,2,7.0
1582643962.167187,2020-02-25 23:19:22,平卧屈举腿,12,2,4.9
1582644461.254812,2020-02-25 23:27:41,短桥,30,2,8.4
1582644589.644705,2020-02-25 23:29:49,标准俯卧撑,10,1,2.1
1582644755.908588,2020-02-25 23:32:35,平卧屈举腿,12,1,2.8
1582720250.953324,2020-02-26 20:30:50,平卧屈举腿,12,2,4.4
1582742795.537757,2020-02-27 02:46:35,标准俯卧撑,8,1,1.3
1582742975.173413,2020-02-27 02:49:35,直桥,12,1,1.8
1582743109.89236,2020-02-27 02:51:49,平卧屈举腿,12,1,2.2
1582743219.895155,2020-02-27 02:53:39,直桥,12,1,1.8
1582743354.714596,2020-02-27 02:55:54,平卧屈举腿,12,1,2.2
1582743437.408361,2020-02-27 02:57:17,标准俯卧撑,8,1,1.3
1582743669.00986,2020-02-27 03:01:09,窄距深蹲,30,1,3.8
1582768859.5042849,2020-02-27 10:00:59,标准俯卧撑,10,1,1.5
1582768965.7472131,2020-02-27 10:02:45,直桥,12,1,1.7
1582769096.648614,2020-02-27 10:04:56,平卧屈举腿,12,1,2.1
1582769190.5128021,2020-02-27 10:06:30,标准俯卧撑,10,1,1.5
1582769296.7402072,2020-02-27 10:08:16,直桥,12,1,1.7
1582769427.543805,2020-02-27 10:10:27,平卧屈举腿,12,1,2.1
1582769652.925727,2020-02-27 10:14:12,标准深蹲,30,1,3.7
1582770222.549473,2020-02-27 10:23:42,窄距深蹲,30,1,3.7
1582819200.000000,2020-02-28 00:00:00,平卧屈举腿,10,3,4
1582993468.424785,2020-03-01 00:24:28,标准俯卧撑,10,1,1.15
1582997088.5066829,2020-03-01 01:24:48,标准俯卧撑,10,1,1.14
1583000360.146632,2020-03-01 02:19:20,平卧屈举腿,12,2,3.18
1583000561.2805262,2020-03-01 02:22:41,直桥,12,2,2.85
1583165882.380129,2020-03-03 00:18:02,窄距深蹲,40,1,4.42
1583165976.119467,2020-03-03 00:19:36,标准俯卧撑,10,1,1.15
1583166221.8988311,2020-03-03 00:23:41,平卧屈举腿,12,2,3.68
1583166445.5784929,2020-03-03 00:27:25,直桥,12,2,3.31

1583166680.3724318,2020-03-03 00:31:20,标准俯卧撑,10,1,1.2
1583167052.178124,2020-03-03 00:37:32,短桥,50,1,5.78
1583167424.52212,2020-03-03 00:43:44,标准深蹲,50,1,5.79
